A00	0	Cholera	Cholera
A00.0	1	Cholera due to Vibrio cholerae 01, biovar cholerae	Cholera due to Vibrio cholerae 01, biovar cholerae
A00.1	1	Cholera due to Vibrio cholerae 01, biovar eltor	Cholera due to Vibrio cholerae 01, biovar eltor
A00.9	1	Cholera, unspecified	Cholera, unspecified
A01	0	Typhoid and paratyphoid fevers	Typhoid and paratyphoid fevers
A01.0	0	Typhoid fever	Typhoid fever
A01.00	1	Typhoid fever, unspecified	Typhoid fever, unspecified
A01.01	1	Typhoid meningitis	Typhoid meningitis
A01.02	1	Typhoid fever with heart involvement	Typhoid fever with heart involvement
A01.03	1	Typhoid pneumonia	Typhoid pneumonia
A01.04	1	Typhoid arthritis	Typhoid arthritis
A01.05	1	Typhoid osteomyelitis	Typhoid osteomyelitis
A01.09	1	Typhoid fever with other complications	Typhoid fever with other complications
A01.1	1	Paratyphoid fever A	Paratyphoid fever A
A01.2	1	Paratyphoid fever B	Paratyphoid fever B
A01.3	1	Paratyphoid fever C	Paratyphoid fever C
A01.4	1	Paratyphoid fever, unspecified	Paratyphoid fever, unspecified
A02	0	Other salmonella infections	Other salmonella infections
A02.0	1	Salmonella enteritis	Salmonella enteritis
A02.1	1	Salmonella sepsis	Salmonella sepsis
A02.2	0	Localized salmonella infections	Localized salmonella infections
A02.20	1	Localized salmonella infection, unspecified	Localized salmonella infection, unspecified
A02.21	1	Salmonella meningitis	Salmonella meningitis
A02.22	1	Salmonella pneumonia	Salmonella pneumonia
A02.23	1	Salmonella arthritis	Salmonella arthritis
A02.24	1	Salmonella osteomyelitis	Salmonella osteomyelitis
A02.25	1	Salmonella pyelonephritis	Salmonella pyelonephritis
A02.29	1	Salmonella with other localized infection	Salmonella with other localized infection
A02.8	1	Other specified salmonella infections	Other specified salmonella infections
A02.9	1	Salmonella infection, unspecified	Salmonella infection, unspecified
A03	0	Shigellosis	Shigellosis
A03.0	1	Shigellosis due to Shigella dysenteriae	Shigellosis due to Shigella dysenteriae
A03.1	1	Shigellosis due to Shigella flexneri	Shigellosis due to Shigella flexneri
A03.2	1	Shigellosis due to Shigella boydii	Shigellosis due to Shigella boydii
A03.3	1	Shigellosis due to Shigella sonnei	Shigellosis due to Shigella sonnei
A03.8	1	Other shigellosis	Other shigellosis
A03.9	1	Shigellosis, unspecified	Shigellosis, unspecified
A04	0	Other bacterial intestinal infections	Other bacterial intestinal infections
A04.0	1	Enteropathogenic Escherichia coli infection	Enteropathogenic Escherichia coli infection
A04.1	1	Enterotoxigenic Escherichia coli infection	Enterotoxigenic Escherichia coli infection
A04.2	1	Enteroinvasive Escherichia coli infection	Enteroinvasive Escherichia coli infection
A04.3	1	Enterohemorrhagic Escherichia coli infection	Enterohemorrhagic Escherichia coli infection
A04.4	1	Other intestinal Escherichia coli infections	Other intestinal Escherichia coli infections
A04.5	1	Campylobacter enteritis	Campylobacter enteritis
A04.6	1	Enteritis due to Yersinia enterocolitica	Enteritis due to Yersinia enterocolitica
A04.7	1	Enterocolitis due to Clostridium difficile	Enterocolitis due to Clostridium difficile
